step,avg_reward,kl_coeff,kl_divergence,policy_loss,reward_std,entropy
10,0.082,0.040,0.019,-0.021,0.487,3.21
20,0.091,0.055,0.027,-0.018,0.501,3.19
30,0.103,0.071,0.035,-0.016,0.512,3.18
50,0.114,0.182,0.089,-0.014,0.498,3.16
75,0.109,0.334,0.167,-0.011,0.523,3.14
100,0.093,0.612,0.304,-0.008,0.531,3.12
125,0.084,0.891,0.443,-0.006,0.518,3.11
150,0.071,1.124,0.558,-0.004,0.541,3.09
175,0.065,1.387,0.692,-0.003,0.527,3.08
200,0.058,1.743,0.867,-0.002,0.548,3.07
225,0.053,1.982,0.989,-0.002,0.534,3.06
250,0.049,2.214,1.103,-0.001,0.552,3.05
265,0.046,2.287,1.141,-0.001,0.539,3.05
280,0.043,2.341,1.168,-0.001,0.557,3.04
