conv_id,timestamp,annotator_id,label,confidence,annotation_time_sec,justification_length
MED-0042,2025-01-13 10:23:14,ANN-04,A,0.85,94,62
MED-0107,2025-01-13 10:47:52,ANN-07,B,0.91,118,83
MED-0213,2025-01-13 11:02:33,ANN-02,A,0.78,143,51
MED-0318,2025-01-13 11:31:07,ANN-11,A,0.82,107,74
MED-0421,2025-01-13 12:05:44,ANN-04,B,0.76,88,45
MED-0509,2025-01-13 12:22:19,ANN-09,A,0.93,201,97
MED-0612,2025-01-13 13:44:38,ANN-03,B,0.71,156,38
MED-0715,2025-01-13 14:08:22,ANN-07,A,0.88,134,69
MED-0823,2025-01-13 14:33:57,ANN-12,B,0.79,99,55
MED-0934,2025-01-13 15:01:14,ANN-02,A,0.84,178,81
MED-1041,2025-01-13 15:29:43,ANN-06,B,0.92,122,73
MED-1148,2025-01-13 16:07:08,ANN-11,A,0.87,91,58
MED-1255,2025-01-13 16:44:31,ANN-04,B,0.74,163,43
MED-1362,2025-01-13 17:12:55,ANN-09,A,0.80,145,67
MED-1469,2025-01-14 10:18:27,ANN-03,B,0.89,112,79
MED-1576,2025-01-14 11:03:44,ANN-07,A,0.83,137,61
MED-1683,2025-01-14 11:52:19,ANN-12,B,0.91,98,85
MED-1790,2025-01-14 13:27:06,ANN-06,A,0.77,189,49
MED-1897,2025-01-14 14:44:38,ANN-02,B,0.86,124,72
MED-2004,2025-01-14 15:33:51,ANN-11,A,0.90,108,88
